brand_name,product_name,price_usd,product_description,ingredients,review_count	
The Ordinary,Glycolic Acid 7% Exfoliating Toner,$13.00,"What it is: A daily surface exfoliator that smooths skin texture, evens tone, and boosts luminosity.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dullness and Uneven Texture




Highlighted Ingredients:

- Glycolic Acid: An alpha hydroxy acid that exfoliates the skin.

- Tasmanian Pepperberry Derivative: Helps reduce irritation associated with acid use.

- Ginseng Root and Aloe Vera: Offer both visible radiance and soothing benefits.




Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, oxybenzone, coal tar, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.




What Else You Need to Know: Hack: Also helps provide a healthier-looking scalp by significantly reducing dryness while hydrating the scalp skin.




Research Results:

After 2 weeks: -Boosts skin luminosity -Evens skin tone appearance -Smooths texture -Reduces scalp dryness","Aqua (Water), Glycolic Acid, Rosa damascena flower water, Centaurea cyanus flower water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, PCA, Sodium PCA, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol.",4K
Caudalie,Vinoperfect Brightening Dark Spot Serum Vitamin C Alternative,$82.00,"What it is: A brightening serum that combats the look of dark spots caused by sun, acne, or pregnancy, visibly even skin tone, and helps improve skin’s glow.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Dullness, and Uneven Texture

Formulation: Serum

Highlighted Ingredients:
- Patented Vine Sap Viniferine: Diminishes and prevents the appearance of dark spots for visibly even-toned skin.
- Olive Squalane: A non-greasy, hydrating ingredient that delivers moisture.
- Biomimetic Emulsifier: Enhances the Patented Vine Sap Viniferine‘s brightening efficacy.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.

What Else You Need to Know: This serum is formulated with a sun-safe alternative to vitamin C and is shown to reduce the appearance of dark spots after using as little as one bottle. It is effective on all dark spots caused by sun, acne and pregnancy and post-acne recovery. Suitable for all skin tones and types, including sensitive skin.                         ""                        

Clinical Results: In a clinical study, dermatological scoring on dark spot coloration, on 65 volunteers after 56 days:
- Dark Spots visibly reduced by 63% after 1 bottle on all skin tones and by 81% on phototypes 4, 5, and 6

In a clinical study, dermatological scoring on dark spot coloration, on 65 volunteers, after 7 days:
- Dark spots visibly brightened by 25%

In a vitro test on the inhibiting action of Viniferine on tyrosinase, results showed:
- 62 times more effective than Vitamin C to brighten

Clean & Planet Aware
Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","Aqua/Water/Eau, Butylene Glycol, Glycerin, Coco-Caprylate/Caprate, Squalane, Palmitoyl Grapevine Shoot Extract, Polyglyceryl-3 Distearate, Bisabolol, Glyceryl Stearate, Xanthan Gum, Caprylyl Glycol, Microcrystalline Cellulose, Polyacrylate Crosspolymer-6, Potassium Sorbate, Glyceryl Stearate Citrate, Citric Acid, Sodium Phytate, Sodium Hydroxide, Parfum (Fragrance).(243/032).",3.5K
The Ordinary,The Resurface & Hydrate Set with Hyaluronic Acid + AHA,$10.00,"What it is: A set of two mini serums: one with AHA and BHA for advanced exfoliation, and another with hyaluronic acid and B5 to hydrate and smooth skin.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Dryness, and Uneven Texture

Formulation: Serum

Highlighted Ingredients:
- Glycolic Acid: Exfoliates outer layers of skin.
- Salicylic Acid: Exfoliates inside pores to reduce congestion.
- Five Forms of Hyaluronic Acid: Replenish skin’s hydration levels.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, and cruelty-free.

What Else You Need to Know: The AHA 30% + BHA 2% Exfoliating Peeling Solution is an advanced-level mask that exfoliates skin’s outer layers for a brighter, more even look. The Hyaluronic Acid 2% + B5 Hydrating Serum provides immediate hydration with a visibly plumping effect.

This Set Contains:
- 0.5 oz/ 15 mL AHA 30% + BHA 2% Exfoliating Peeling Solution
- 0.5 oz/ 15 mL Hyaluronic Acid 2% + B5 Hydrating Serum

Clinical Results: Hyaluronic Acid 2% + B5 Hydrating Serum:
In a clinical test with 34 people, when used twice daily:
Immediately:
- It provided plumping hydration

After 2 weeks:
- Skin felt softer and smoother

After 4 weeks:
- Skin was more supple-feeling with visibly improved elasticity
- Fine, dry lines were visibly reduced","Glycolic Acid, Aqua (Water), Aloe Barbadensis Leaf Water, Sodium Hydroxide, Daucus Carota Sativa Extract, Propanediol, Cocamidopropyl Dimethylamine, Salicylic Acid, Lactic Acid, Tartaric Acid, Citric Acid, Panthenol, Sodium Hyaluronate Crosspolymer, Tasmannia Lanceolata Fruit/Leaf Extract, Glycerin, Pentylene Glycol, Xanthan Gum, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Sodium Benzoate, Ethylhexylglycerin, 1,2-Hexanediol, Caprylyl Glycol.
Aqua (Water), Sodium Hyaluronate, Propanediol, Pentylene Glycol, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Phospholipids, Sphingolipids, Panthenol, Ahnfeltiopsis Concinna Extract, Glycerin, Polysorbate 20, Citric Acid, Sodium Citrate, p-Anisic Acid, Tocopherol, Trisodium Ethylenediamine Disuccinate, Caprylyl Glycol, Ethoxydiglycol, Ethylhexylglycerin, Hexylene Glycol, Phenoxyethanol, Chlorphenesin.",107
The Ordinary,Azelaic Acid 10% Suspension Brightening Cream,$12.20,"What it is: A multifunctional cream that visibly brightens skin.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dullness, Uneven Texture, and Acne and Blemishes




Formulation: Cream




Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, oxybenzone, coal tar, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.




What Else You Need to Know: Formulated without alcohol, or fragrance, this azelaic acid cream visibly brightens skin tone, evens out texture, reduces blemishes, and provides antioxidant support.","Water, Isodecyl Neopentanoate, Dimethicone, Azelaic Acid, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin.",1.3K
innisfree,Green Tea Enzyme Vitamin C Brightening + Exfoliating Toner Pads,$28.00,"What it is: A set of daily toner pads with vitamin C and green tea enzyme to visibly brighten skin and fade dark spots like post-breakout marks and sunspots.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Dullness, and Uneven Texture

Formulation: Wipes

Highlighted Ingredients:
- Pure Vitamin C and Niacinamide: Help visibly brighten and fade dark spots, including post-breakout marks and sunspots.
- Green Tea-Derived Enzyme and PHA: Gently exfoliate and dissolve dead skin cells.
- Hydro-Soothing Complex (Hyaluronic Acid, Madecassoside, Allantoin, and Panthenol): Hydrates and cushions the formula to soothe skin.

Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.

What Else You Need to Know: Boost your routine with a Korean skincare must-have. The biodegradable design is made with vitamin C fibers for targeted and concentrated visible brightening. Pure vitamin C tackles the look of dark spots, green tea enzyme gently exfoliates, and hyaluronic acid and panthenol keep your skin glowing and hydrated.

Clinical Results: In an instrumental test on 34 women, after 4 weeks of daily use, with product left on skin for 10 minutes:
- 100% had brighter skin after 1 use

In a self-assessment based on clinical testing with 34 women, after 4 weeks of daily use, with product left on skin for 10 minutes:
- 100% saw brighter, clearer, more radiant skin after 4 weeks
- 97% saw fewer dark spots after 4 weeks

Clean & Planet Aware
Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","-Pure Vitamin C and Niacinamide: Help visibly brighten and fade dark spots, including post-breakout marks and sunspots.
-Green Tea-Derived Enzyme and PHA: Gently exfoliate and dissolve dead skin cells.
-Hydro-Soothing Complex (Hyaluronic Acid, Madecassoside, Allantoin, and Panthenol): Hydrates and cushions the formula to soothe skin.

Water/Aqua/Eau, Butylene Glycol, Glycerin, Niacinamide, 1,2-Hexanediol, Panthenol, Allantoin, Magnesium Ascorbyl Phosphate, Hydroxyethylcellulose, Citric Acid, Ethylhexylglycerin, Polyglyceryl-10 Laurate, Dipropylene Glycol, Dipotassium Glycyrrhizate, Sodium Phytate, Dextrin, Sodium Hyaluronate, Sodium Citrate, Gluconolactone, Methyl Diisopropyl Propionamide, Propanediol, Cyclodextrin, Beta-Glucan, Protease, Citrus Reticulata (Tangerine) Peel Extract, Tocopherol, Glutathione, Ferulic Acid, Madecassoside.

The list of ingredients is subject to change. Please consult the packaging of the product purchased.",169
The Ordinary,Saccharomyces Ferment 30% Milky Toner,$14.00,"What it is: A gentle, exfoliating milky toner, suitable for sensitive skin, that promotes a smoother, brighter complexion while boosting hydration.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Dullness, and Uneven Texture

Highlighted Ingredients:
- Saccharomyces Ferment 30% Containing Fermented N-Acetylglucosamine 3%: Encourages surface exfoliation to visibly smooth uneven texture.
- Squalane: Hydrates, softens skin, and provides barrier support.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.

What Else You Need to Know: An alternative exfoliator suitable for sensitive skin, the Saccharomyces Ferment 30% Milky Toner uses fermented N-acetyl glucosamine to create a gentle, hydrating formula with the exfoliating benefits of a direct acid.

Clinical Results: In a clinical study, results showed:
- Smoothed skin texture and reduced appearance of textural irregularities
- Brighter, more radiant skin
- All-day hydration
- Reduced appearance of dark spots

In clinical testing on 38 people, after 1 application:
- The skin barrier was stronger after 8 hours

This product is an Allure Best of Beauty award winner.","-Saccharomyces Ferment 30% Containing Fermented N-Acetylglucosamine 3%: Encourages surface exfoliation to visibly smooth uneven texture.
-Squalane: Hydrates, softening skin and providing barrier support.

Aqua (Water), Yeast Extract, Squalane, Lauryl Glucoside, Myristyl Glucoside, Polyglyceryl-6 Laurate, Isoceteth-20, Trisodium Ethylenediamine Disuccinate, Citric Acid, Sodium Citrate, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin.",825
Topicals,Faded Brightening & Cleansing Body Bar for Uneven Skin Tone (2 Pack),$28.00,"What it is: A multi-tasking cleansing body bar that visibly brightens, fades the look of dark spots and discoloration, and hydrates the skin without leaving tightness or residue.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Dark Spots, Dryness, and Uneven Skin Tone

Formulation: Bar

Highlighted Ingredients:
- Kojic Acid: Visibly reduces hyperpigmentation for skin that looks more even toned.
- Vitamin C: A potent antioxidant that visibly brightens and fades dark spots.
- Shea Butter: Thoroughly nourishes and softens.

Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, and cruelty-free.

What Else You Need to Know: Even out the look of skin tone with Topicals’ six active-ingredient blend. This fragrance-free, non-bleaching formula targets hyperpigmentation while ultra-nourishing shea butter and urea provide hydration. It is safe for use all over, including delicate areas such as underarms, inner thighs, and bikini line.","-Kojic Acid: Visibly reduces hyperpigmentation for skin that looks more even toned.

-Vitamin C: A potent antioxidant that visibly brightens and fades dark spots.

-Shea Butter: Thoroughly nourishes and softens.




Hydrogenated Vegetable Oil, Sodium Cocoyl Isethionate, Water / Eau / Aqua, Polyglyceryl-4 Laurate, Glycerin, Butyrospermum Parkii (Shea) Butter, Titanium Dioxide (CI 77891), Sodium Chloride, Ascorbic Acid, Azelaic Acid, Kojic Acid, Melatonin, Niacinamide, Urea, Lactic Acid, Iron Oxides (CI 77491), Carica Papaya (Papaya) Fruit Extract, Iron Oxides (CI 77499)",253
Dr. Idriss,Major Fade Hyper Serum Dark Spot Treatment,$68.00,"What it is: A brightening serum that fades the look of dark spots, discoloration, and hyperpigmentation.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Redness, and Dullness




Formulation: Lightweight Serum




Highlighted Ingredients:
- Alpha Arbutin: Improves the appearance of uneven skin tone.

- Kojic Acid: Diminishes the look of dark spots.

- Niacinamide: Supports skin's moisture barrier and visibly reduces discoloration.




Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.




What Else You Need to Know: This illuminating treatment serum targets stubborn dark spots and improves the look of uneven skin tone. It contains two cartridges to ensure the highest level of freshness and was developed by board-certified dermatologist, Dr. Idriss (@shereeneidriss), with her favorite skin-loving moisturizing ingredient, glycerin.




Clinical Results: Based on a consumer perception study of 105 subjects who used Major Fade Hyper Serum for 2 months:




97% would recommend the serum to others with similar skin concerns

93% agree that their complexion appears more even-toned since they started using this serum

92% agree that the appearance of their uneven skin tone has improved 

91% agree that the serum has improved their skin’s overall brightness

88% agree that they have noticed a visible reduction in dark spots after using the serum




*Major Fade Flash Mask (three times per week at night), Major Fade Hyper Serum (two times per day, morning and night), and Major Fade Active Seal (two times per day, morning and night) (all sold separately)","-Alpha Arbutin: Improves the appearance of uneven skin tone.
-Kojic Acid: Diminishes the look of dark spots.
-Niacinamide: Supports skin's moisture barrier and visibly reduces discoloration.

Water/Aqua/Eau, Niacinamide, Glycerin, Caprylic/Capric Triglyceride, Pentylene Glycol, Alpha-Arbutin, Butyrospermum Parkii (Shea) Butter, Squalane, Cetearyl Olivate, Dimethicone, Cetyl Alcohol, Sorbitan Olivate, Kojic Acid, Diglucosyl Gallic Acid, Glycyrrhiza Glabra (Licorice) Root Extract, Persea Gratissima (Avocado) Oil, Sclerotium Gum, Xanthan Gum, Citric Acid, Sodium Phytate, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891).",537
Farmacy,Brighten Up 3% TXA Dark Spot Toner with Azelaic Acid,$34.00,"What it is: A brightening 3% TXA (tranexamic acid) toner that’s clinically proven to reduce the look of dark spots in just 7 days, gently resurfaces and evens skin with azelaic acid and 5% PHA, and is suitable for all skin types and tones.




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dark Spots, Uneven Texture, and Acne and Blemishes




Formulation: Cream




Highlighted Ingredients:
- 3% TXA (Tranexamic Acid): Visibly brightens and reduces the look of dark spots.

- 5% PHA (Gluconolactone) and Azelaic Acid: Visibly evens tone, smooths texture, and gently exfoliates.

- Upcycled Tangerine Peel: A hydrating nature-derived antioxidant.




Ingredient Callouts: This product is cruelty-free.




What Else You Need to Know: This brightening toner is formulated with a triple-threat dark spot solution that’s clinically proven to reduce the look of dark spots in just seven days and improve visible hyperpigmentation including post-acne marks, melasma, and sunspots. 3% TXA (tranexamic acid) visibly fades stubborn spots while azelaic acid and 5% PHA visibly refine skin texture and brighten for a smooth, even complexion.




It’s suitable for all skin types and tones and layers well into your existing routine including other acids.




Clinical Results: Based on clinical and consumer panel testing on 36 subjects after 7 days:

- Clinically proven to visibly reduce dark spots

- 97% agreed skin clarity was improved




Based on clinical and consumer panel testing on 34 subjects after 8 weeks:

- 100% showed visible reduction in dark spots

- 100% showed improvement in skin tone evenness

- 97% showed visible reduction in the look of hyperpigmentation







Clean at Sephora

Our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.","-3% TXA (Tranexamic Acid): Visibly brightens and reduces the look of dark spots.

-5% PHA(Gluconolactone) and Azelaic Acid: Visibly evens tone, smooths texture, and gently exfoliates.

-Upcycled Tangerine Peel: A hydrating nature-derived antioxidant.




Water/Aqua/Eau, Gluconolactone, Pentylene Glycol, Isopentyldiol, Tranexamic Acid, Betaine, Propanediol, Azelaic Acid, Ascorbic Acid, Citrus Aurantium Amara (Bitter Orange) Fruit Extract, Citrus Aurantium Sinensis Peel Extract, Citrus Reticulata (Tangerine) Fruit Extract, Glycerin, Allantoin, Polyglycerin-6, Inulin, Fructose, Glucose, Xanthan Gum, Cellulose Gum, Lactic Acid, Citric Acid, Sodium Phytate, Cellulose.




The list of ingredients is subject to change, please consult the packaging of the product purchased.",863
Glow Recipe,Watermelon Glow Niacinamide Dewy Flush - Brightening Serum Blush,$25.00,"What it is: A tinted cheek serum that plumps cheeks, brightens dark spots & hydrates while providing a buildable, natural flush of color that melts into skin.                        




Skin Type: Normal, Dry, Combination, and Oily




Skincare Concerns: Dryness, Dullness and Dark Spots




Highlighted Ingredients: 


- 3% Niacinamide: Visibly brightens dark spots, improves texture, and minimizes redness.

- Watermelon Extract & Centella Asiatica: Deeply hydrates & plumps while calming redness.

- Jojoba Oil Coated Pigments: Non-comedogenic pigments create a naturally hydrated dewy flush of color.




Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.




What Else You Need to Know: This dewy, tinted cheek serum is powered by 100% skincare with clinically effective ingredients to brighten dark spots, improve texture, minimize pores, and hydrate. Available in two sheer, buildable shades, Dewy Flush nourishes skin while delivering a soft flush of color that’s never overpowering.  




Research Results:

Based on a consumer use study of 32 participants immediately after:

•    100% agrees Dewy Flush applies seamlessly to skin and feels weightless on skin 

•    90% said skin immediately looks smoother and did not emphasize pores.   

   

Based on a consumer use study of 32 participants after 4 weeks:

•    97% agree skin looks & feels hydrated                                                                                        

•    90% agree Dewy Flush leaves skin looking glowing + dewy

•    This product plumps the look of skin instantly and overtime leaving a glow on cheek that last all day




Clean & Planet Aware

Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","- 3% Niacinamide: Visibly brightens dark spots, improves texture, and minimizes redness.

- Jojoba Oil Coated Pigments: Non-comedogenic pigments create a naturally hydrated dewy flush of color.

- Watermelon Extract & Centella Asiatica: Deeply hydrates & plumps while calming redness.




Watermelon Flush:
Water/Aqua/Eau, Dicaprylyl Ether, Squalane, Isoamyl Laurate, Octyldodecanol, C10-18 Triglycerides, Aluminum Starch Octenylsuccinate, Caprylic/Capric Triglyceride, Niacinamide, Jojoba Esters, Polyglyceryl-6 Polyhydroxystearate, Polyglyceryl-6 Polyricinoleate, Glyceryl Behenate, Helianthus Annuus (Sunflower) Seed Wax, Hydrogenated Poly(C6-20 Olefin), Magnesium Sulfate, Citrullus Lanatus (Watermelon) Fruit Extract, Centella Asiatica Extract, Hyaluronic Acid, Leuconostoc/Radish Root Ferment Filtrate, Acacia Decurrens Flower Extract, Glycerin, Coco-Caprylate/Caprate, Disteardimonium Hectorite, Dilinoleic Acid/Butanediol Copolymer, Polyglycerin-6, Mica, Propylene Carbonate, Triheptanoin, HDI/Trimethylol Hexyllactone Crosspolymer, Dodecane, Polyglycerin-3, Ethylhexylglycerin, Sorbitan Oleate, Phenoxyethanol, Castor Oil/IPDI Copolymer, Trihydroxystearin, Tocopherol, Fragrance/Parfum*, CI 77891, CI 15850, CI 77491, CI 77499, May contain/peut contenir: CI 45410, CI 15985, CI 42090.




*Natural Fragrance/Parfum Naturel




The list of ingredients is subject to change. Please consult the packaging of the product purchased.",469
