brand_name,product_name,price_usd,product_description,ingredients,review_count,country
Dr. Althea,345 Relief Cream,24.3,"Shield your skin from environmental damage with this antioxidant-rich cream featuring resveratrol, turmeric extract and Vitamin E. Adenosine and niacinamide provide anti-aging and brightening effects. It contains nourishing and soothing ingredients including heartleaf extract and evening primrose flower extract. Fragrance-free formula is gentle on skin.","['water', ' propanediol', ' glycerin', ' cyclohexasiloxane', ' 1', '2-hexanediol', ' caprylic/capric triglyceride', ' niacinamide', ' panthenol', ' polyglycerin-3', ' polyglyceryl-10 stearate', ' hydrogenated poly(c6-14 olefin)', ' hydrogenated polydecene', ' laminaria japonica extract', ' eclipta prostrata leaf extract', ' melia azadirachta flower extract', ' houttuynia cordata extract', ' melia azadirachta leaf extract', ' oenothera biennis (evening primrose) flower extract', ' curcuma longa (turmeric) root extract', ' ocimum sanctum leaf extract', ' calendula officinalis flower extract', ' agave tequilana leaf extract', ' sargassum fulvellum extract', ' corallina officinalis extract', ' lavandula angustifolia (lavender) flower extract', ' centella asiatica leaf extract', ' opuntia ficus-indica stem extract', ' gardenia florida fruit extract', ' perilla ocymoides leaf extract', ' hibiscus sabdariffa flower extract', ' sodium hyaluronate', ' hydrogenated lecithin', ' empetrum nigrum fruit juice', ' dicaprylyl carbonate', ' c14-22 alcohols', ' ammonium acryloyldimethyltaurate/vp copolymer', ' polymethylsilsesquioxane', ' dipropylene glycol', ' butylene glycol', ' c12-20 alkyl glucoside', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' ethylhexylglycerin', ' polyquaternium-51', ' tromethamine', ' fructooligosaccharides', ' adenosine', ' beta-glucan', 'soybean', ' peg-40 castor oil', ' hydrolyzed hyaluronic acid', ' resveratrol', ' tocopherol', ' ceramide np', ' oligopeptide-1', ' phenoxyethanol', ' potassium sorbate']",4226.0,South Korea
APLB,Glutathione Niacinamide Sheet Mask,0.99,"Perk up dull skin instantly with this sheet mask drenched in essence containing 1,000ppm of glutathione and 1,000ppm of niacinamide for a powerful radiance boost. The formula contains 13.5% cica extract to tamp down irritation. The cellulose mask sheet adheres firmly to enable swift delivery of active ingredients into skin. Suitable for sensitive skin.","['water', ' centella asiatica extract (135%)', ' butylene glycol', ' dipropylene glycol', ' nelumbo nucifera extract', ' artemisia annua extract', ' oryza sativa (rice) extract', ' saccharomyces ferment', ' niacinamide (1', '000ppm)', ' glutathione (1', '000ppm)', ' solanum melongena (eggplant) fruit extract', ' melaleuca alternifolia (tea tree) leaf extract', ' hydrolyzed collagen', ' beta-glucan', ' hippophae rhamnoides fruit extract', ' sodium hyaluronate', ' madecassic acid', ' asiaticoside', ' asiatic acid', ' squalane', ' caprylic/capric triglyceride', ' hydrogenated lecithin', ' glyceryl stearate', ' cholesterol', ' propanediol', ' disodium edta', ' glyceryl acrylate/acrylic acid copolymer', ' cellulose gum', ' xanthan gum', ' inulin', ' cellulose', ' glucose', ' fructose', ' polyglucuronic acid', ' hydroxyethyl urea', ' ethylhexylglycerin', ' hydroxyacetophenone', ' hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer', ' glycerin', ' dipotassium glycyrrhizate', ' 1', '2-hexanediol', ' carbomer', ' arginine']",2979.0,South Korea
Anua,Niacinamide 10 TXA 4 Serum,15.2,"Tackle hyperpigmentation with this serum formulated with 10% niacinamide and 4% tranexamic acid to fade dark spots and acne scars. It contains alpha-arbutin to brighten and even skin tone, as well as hyaluronic acid and botanical oils to moisturize and soothe skin.","['water', ' glycerin', ' niacinamide', ' tranexamic acid', ' butylene glycol', ' diethoxyethyl succinate', ' 1', '2-hexanediol', 'alpha arbutin', ' sodium hyaluronate', 'alpha arbutin', ' coccinia indica fruit extract', ' eclipta prostrata extract', ' macadamia integrifolia seed oil', ' olea europaea (olive) fruit oil', ' simmondsia chinensis (jojoba) seed oil', ' vitis vinifera (grape) seed oil', ' theobroma cacao (cocoa) extract', ' hydrolyzed hyaluronic acid', ' chamaecyparis obtusa leaf extract', ' prunus persica (peach) flower extract', ' camellia sinensis seed oil', ' yeast ferment extract', ' centella asiatica extract', ' artemisia princeps leaf extract', ' candida bombicola/glucose/methyl rapeseedate ferment', ' hyaluronic acid', ' pentylene glycol', ' betaine salicylate', ' sucrose palmitate', ' hydrogenated lecithin', ' gellan gum', ' sodium phytate', ' cellulose', ' caprylic/capric triglyceride', ' panthenol', ' cyanocobalamin', ' polyglutamic acid', ' 3-0-ethyl ascorbic acid', ' ceramide np', ' dextrin', ' asiaticoside', ' madecassic acid', ' asiatic acid', ' dimethylsilanol hyaluronate', ' hydrolyzed sodium hyaluronate', ' potassium hyaluronate', ' hydroxypropyltrimonium hyaluronate', ' sodium hyaluronate crosspolymer', ' sodium hyaluronate dimethylsilanol', ' sodium acetylated hyaluronate', ' xanthan gum']",5543.0,South Korea
SKIN 1004,Madagascar Centella Tone Brightening Capsule Ampoule Jumbo,16.61,"Improve dull and tired skin with this lightweight yet powerful toner infused with MadeWhite™, an ingredient made of Madagascan cica extracts and niacinamide for brightening, hydration and skin-soothing benefits. Additional ingredients of papaya and apple extracts provide gentle exfoliation to reveal smooth, supple and even-toned skin.","['water', ' butylene glycol', ' niacinamide', ' glycerin', ' tranexamic acid', ' 1', '2-hexanediol', ' betaine', ' centella asiatica extract', ' zea mays (corn) starch', ' xanthan gum', ' microcrystalline cellulose', ' mannitol', ' panthenol', ' pentylene glycol', ' ethylhexylglycerin', ' hydroxyethylcellulose', ' madecassoside', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' arginine', ' hydrogenated lecithin', ' xylitylglucoside', ' anhydroxylitol', ' xylitol', ' glucose', ' 3-o-ethyl ascorbic acid', ' lactobacillus ferment']",5883.0,South Korea
medicube,PDRN Pink Collagen Gel Mask,4.5,"Collagen gel mask packed with elasticity-boosting ingredients such as Salmon PDRN, hydrolyzed collagen and peptides reduce fine lines and wrinkles and smooth skin texture. The gel mask’s soft gel texture tightly hugs the face while delivering hydrating and cooling effects. This product is hypoallergenic and safe to use on sensitive skin.","['water', ' glycerin', ' methylpropanediol', ' acrylates/ethylhexyl acrylate copolymer', ' niacinamide', ' chondrus crispus powder', ' 1', '2-hexanediol', ' butylene glycol', ' betaine', ' ceratonia siliqua (carob) gum', ' hydroxyacetophenone', ' allantoin', ' glucomannan', ' xanthan gum', ' laureth-21', ' panthenol', ' polyglyceryl-10 laurate', ' propanediol', ' cellulose gum', ' cyamopsis tetragonoloba (guar) gum', 'fragrance', ' potassium chloride', ' dextrin', ' adenosine', ' ethylhexylglycerin', ' hydrolyzed collagen', ' cyanocobalamin', ' ascorbic acid', ' sodium dna', ' tocopherol', ' acetyl hexapeptide-8', ' ascorbic acid polypeptide', ' acetyl octapeptide-3', ' acetyl tetrapeptide-2', ' acetyl tetrapeptide-3', ' acetyl tetrapeptide-5', ' acetyl tetrapeptide-9', ' carnosine', ' copper tripeptide-1', ' nonapeptide-1', ' palmitoyl pentapeptide-4', ' palmitoyl tripeptide-1', ' palmitoyl tripeptide-5']",262.0,South Korea
Beauty of Joseon,Revive Eye Serum,15.3,Improve wrinkles around the sensitive eye area with this nourishing eye serum. It's formulated with retinol liposome to enhance skin elasticity and ginseng root extract to boost hydration. Non-sticky formula glides on smoothly and is absorbed quickly into skin.,"['water', ' panax ginseng root extract', ' glycerin', ' dipropylene glycol', ' caprylic/capric triglyceride', ' 1', '2-hexanediol', ' pentaerythrityl tetraethylhexanoate', ' niacinamide', ' butylene glycol dicaprylate/dicaprate', ' cetearyl alcohol', ' sorbitan olivate', ' cetearyl olivate', ' butylene glycol', ' hydrogenated lecithin', ' tromethamine', ' carbomer', ' glyceryl stearate', ' macadamia ternifolia seed oil', ' ethylhexylglycerin', ' adenosine', ' theobroma cacao (cocoa) extract', ' dextrin', ' cholesterol', ' polyglyceryl-10 oleate', ' disodum edta', ' retinal', ' brassica campestris (rapeseed) sterols', ' phytosteryl/behenyl/octyldodecyl lauroyl glutamate', ' silica', ' sodium hyaluronate', ' tocopherol', ' aluminum/magnesium hydroxide stearate', ' potassium cetyl phosphate', ' pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', ' ceramide np', ' palmitoyl tripeptide-5']",8702.0,South Korea
Purito SEOUL,Mighty Bamboo Panthenol Cream,16.1,"Repair a damaged skin barrier with this rich cream infused with Korean Damyang bamboo extract and 100,000ppm of soothing panthenol. The cream also contains hydrating ingredients such as squalane and sodium hyaluronate to boost skin moisture levels. Fragrance-free and hypoallergenic formula is suitable for all skin types including sensitive skin.","['water', ' panthenol', ' squalane', ' butylene glycol', ' 1', '2-hexanediol', ' niacinamide', ' bambusa vulgaris extract', ' hydrolyzed jojoba esters', ' acrylates/c10-30 alkyl acrylate crosspolymer', ' ammonium acryloyldimethyltaurate/vp copolymer', ' hydroxyacetophenone', ' tromethamine', ' dipotassium glycyrrhizate', ' ethylhexylglycerin', ' xanthan gum', ' disodium edta', ' sodium hyaluronate', ' madecassoside', ' asiaticoside', ' asiatic acid', ' madecassic acid', ' copper tripeptide-1']",3879.0,South Korea
KSECRET,SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng,15.4,"Perfect for mature skin, this serum helps reduce signs of aging and improve skin elasticity. The anti-aging serum is enriched with 2% retinal liposome to combat wrinkles and pigmentation, as well as 58% black ginseng extract for antioxidant, anti-inflammatory and collagen-boosting properties.","['panax ginseng root extract', 'water', ' glycerin', ' dipropylene glycol', ' caprylic/ capric triglyceride', ' 1', '2-hexanediol', ' niacinamide', ' butylene glycol', ' methyl gluceth-20', ' polyglyce- ryl-3 methylglucose distearate', ' hydrogenated lecithin', ' sorbitan stearate', ' ammonium acryloyl- dimethyltaurate/vp copolymer', ' macadamia ternifolia seed oil', ' carbomer', ' tromethamine', ' betaine', ' tocopherol', ' ethylhexylglycerin', ' helian- thus annuus (sunflower) seed oil', ' adenosine', ' disodium edta', ' cholesterol', ' polyglyceryl-10 oleate', ' brassica campestris (rapeseed) sterols', ' phytosteryl/behenyl/octyldodecyl lauroyl glutamate', ' retinal', ' silica', ' aluminum/magnesium hydroxide stearate', ' potassium cetyl phosphate', ' pentaerythrityl tetra-di-t-butyl hydroxyhy- drocinnamate', ' arctium lappa root extract', ' cnidium officinale root extract', ' dioscorea japonica root extract', ' paeonia suffruticosa root extract', ' rehmannia chinensis root extract', ' 3-0-ethyl ascorbic acid', ' bakuchiol', ' sh-oligopep- tide-1', ' sh-oligopeptide-2', ' sh-polypeptide-1']",1490.0,South Korea
Anua,Azelaic Acid 10 Hyaluron Redness Soothing Serum,19.2,"This lightweight serum treats skin concerns like acne and rosacea, thanks to its formula rich in calming ingredients such as azelaic acid, panthenol, aloe juice, and centella extract. Niacinamide in the mix helps fade hyperpigmentation, while hyaluronic acid delivers long-lasting hydration.","['water', ' azelaic acid', ' propylene glycol', ' sodium hydroxide', ' dipropylene glycol', ' 1', '2-hexanediol', ' panthenol', ' hydroxyethylcellulose', ' betaine salicylate', ' glycerin', ' biosaccharide gum-1', ' ethylhexylglycerin', ' allantoin', ' dipotassium glycyrrhizate', ' melia azadirachta leaf extract', 'water', ' sodium hyaluronate', ' melia azadirachta flower extract', ' niacinamide', 'aloe barbadensis leaf juice', ' beta-glucan', ' centella asiatica extract', ' centella asiatica leaf extract', ' centella asiatica root extract', ' madecassoside', ' asiaticoside', ' asiatic acid', ' madecassic acid', ' squalane zinc pca', ' butylene glycol', ' pentylene glycol', ' caprylyl/capryl glucoside', ' hydrogenated lecithin', ' ceramide np']",208.0,South Korea
I'm from,Rice Toner,19.6,"Packed with goami rice extracts, this hydrating toner provides anti-wrinkle and brightening care while delivering moisturizing benefits. Other key ingredients include rice bran extract, amaranthus caudatus seed extract and portulaca oleracea extract, which provide nourishing and soothing effects. Formula treats skin concerns such as dry or fatigued skin as well as aging skin with fine lines. Suitable for various skin types including sensitive skin.","['oryza sativa (rice) extract (7778%)', ' methylpropanediol', ' triethylhexanoin', ' hydrogenated poly(c6-14 olefin)', ' niacinamide', ' pentylene glycol', ' portulaca oleracea extract', ' oryza sativa (rice) bran extract', ' ulmus davidiana root extract', ' amaranthus caudatus seed extract', ' hydrogenated lecithin', 'water', ' polyglyceryl-10 myristate', ' butylene glycol', ' adenosine', ' cellulose gum', ' ethylhexylglycerin', ' 1', '2-hexanediol']",10342.0,South Korea
